Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,AnnualDiv,DividendYield,SMA20,SMA50,Signal
2025-04-29 00:00:00+09:00,181280.03422289822,182176.4739525719,178391.50620506084,180084.78125,1866386,0.0,0.0,0.0,1904.0,1.057279791653688,178276.9484375,191808.82625,-1
2025-04-30 00:00:00+09:00,178391.48292253522,179287.92253521126,176000.9772887324,176797.8125,2354473,0.0,0.0,0.0,1904.0,1.0769364015745388,177260.9828125,191188.27,-1
2025-05-02 00:00:00+09:00,178690.31204637096,185463.4119455645,177694.2679435484,185264.203125,3886874,0.0,0.0,0.0,1904.0,1.0277214744584782,176832.68359375,190568.801875,-1
2025-05-07 00:00:00+09:00,186957.48196737422,190742.44963639937,185164.6025452044,190045.21875,3830097,0.0,0.0,0.0,1904.0,1.001866825444668,177260.9828125,190173.6078125,-1
2025-05-08 00:00:00+09:00,195224.63872832368,195224.63872832368,188650.74783236993,189547.1875,5125330,0.0,0.0,0.0,1904.0,1.0044992094646616,178530.9390625,189817.9359375,-1
2025-05-09 00:00:00+09:00,191240.4523934771,192037.28761178328,186061.02347448713,189347.96875,2539822,0.0,0.0,0.0,1904.0,1.005556073597964,179556.86328125,189547.3471875,-1
2025-05-12 00:00:00+09:00,192834.13205128204,194427.80256410257,192734.52764423078,194228.59375,1624884,0.0,0.0,0.0,1904.0,0.9802882074359868,181050.9296875,189463.439375,-1
2025-05-13 00:00:00+09:00,199706.83816120907,200702.88224181358,196519.49710327457,197714.75,3385009,0.0,0.0,0.0,1904.0,0.9630035189584996,181812.90390625,189399.7725,-1
2025-05-14 00:00:00+09:00,206181.12219356795,206181.12219356795,203192.98998786407,205185.078125,3333511,0.0,0.0,0.0,1904.0,0.9279427224430382,183067.91875,189535.234375,-1
2025-05-15 00:00:00+09:00,206679.1363388404,207177.1583541147,198710.78409445137,199706.828125,3178957,0.0,0.0,0.0,1904.0,0.9533975467319791,184078.903125,189740.4190625,-1
2025-05-16 00:00:00+09:00,205185.08175427874,205932.11481891808,202694.9715388142,203691.015625,2419507,0.0,0.0,0.0,1904.0,0.9347491317463452,185269.17578125,190106.9634375,-1
2025-05-19 00:00:00+09:00,202196.94615095286,202196.94615095286,196718.70376755265,198611.1875,2482673,0.0,0.0,0.0,1904.0,0.9586569739431219,186534.15234375,190232.465,-1
2025-05-20 00:00:00+09:00,201698.92829517327,207177.1707920792,200702.88420482673,201200.90625,2820546,0.0,0.0,0.0,1904.0,0.9463178051664467,187878.8125,190423.705625,-1
2025-05-21 00:00:00+09:00,203691.0042471945,204189.02626246883,199109.20170667084,199706.828125,1721760,0.0,0.0,0.0,1904.0,0.9533975467319791,189148.76875,190585.0646875,-1
2025-05-22 00:00:00+09:00,199109.22620937024,200702.8968543677,195722.67608875062,196121.09375,1988587,0.0,0.0,0.0,1904.0,0.9708287688967674,190159.7546875,190764.3528125,-1
2025-05-23 00:00:00+09:00,199109.20809375,200702.87859375,197913.95521875,199208.8125,1538701,0.0,0.0,0.0,1904.0,0.9557810099390055,191464.57265625,191007.3875,-1
2025-05-26 00:00:00+09:00,199208.80541871922,202694.9595135468,196121.06893472906,202196.9375,1459997,0.0,0.0,0.0,1904.0,0.9416562009006689,192560.2203125,191089.063125,-1
2025-05-27 00:00:00+09:00,199706.84922839506,202694.98163580245,199208.82716049382,201698.9375,1424916,0.0,0.0,0.0,1904.0,0.9439811749132292,193765.434375,191144.841875,-1
2025-05-28 00:00:00+09:00,205683.1057316707,208671.23801832934,205185.08368389425,207177.171875,3161188,0.0,0.0,0.0,1904.0,0.919020171367517,194940.7671875,191214.565,-1
2025-05-29 00:00:00+09:00,214037.34209168633,214037.34209168633,207052.4404849646,211542.734375,3827689,375.0,0.0,0.0,2279.0,1.0773236938310706,196453.90234375,191341.718125,-1
2025-05-30 00:00:00+09:00,209547.04309290953,209547.04309290953,202562.14165647922,204058.90625,4826628,0.0,0.0,0.0,2279.0,1.1168343699774193,197652.60859375,191378.9575,-1
2025-06-02 00:00:00+09:00,204557.8298192771,208050.28057228914,202562.14367469877,207052.4375,1775752,0.0,0.0,0.0,2279.0,1.1006873560713333,199165.33984375,191426.265,-1
2025-06-04 00:00:00+09:00,217529.7808908046,222518.9960488506,216033.0163433908,217030.859375,5108674,0.0,0.0,0.0,2279.0,1.050081083659258,200753.67265625,191583.4971875,-1
2025-06-05 00:00:00+09:00,225013.6086790089,229503.902422049,221521.15798997774,224015.765625,5768506,0.0,0.0,0.0,2279.0,1.0173391116654806,202452.2,191770.8625,-1
2025-06-09 00:00:00+09:00,232497.41887281658,232996.34037254367,227508.20387554585,228506.046875,3666084,0.0,0.0,0.0,2279.0,0.9973477862696056,204400.14296875,192127.716875,-1
2025-06-10 00:00:00+09:00,230501.7496610629,231998.51426925164,227009.29890862256,230002.828125,3718655,0.0,0.0,0.0,2279.0,0.9908573814411656,206432.8859375,192584.23,-1
2025-06-11 00:00:00+09:00,235490.9559895833,240480.17115885415,234493.11295572916,239482.328125,4230421,0.0,0.0,0.0,2279.0,0.9516359799251889,208695.57265625,193110.8078125,-1
2025-06-12 00:00:00+09:00,241976.93239118895,245968.30447186835,234493.10973991506,234992.03125,4994238,0.0,0.0,0.0,2279.0,0.9698201202301409,210559.43671875,193687.0259375,-1
2025-06-13 00:00:00+09:00,239981.24635084925,242475.8539012739,233245.80596470277,234992.03125,4100610,0.0,0.0,0.0,2279.0,0.9698201202301409,212049.784375,194416.635,-1
2025-06-16 00:00:00+09:00,237486.64755544355,247963.9996534778,237486.64755544355,247465.078125,3760740,0.0,0.0,0.0,2279.0,0.9209380237678737,214437.696875,195567.024375,-1
2025-06-17 00:00:00+09:00,252454.2782379518,259439.17921686746,247465.06325301205,248462.90625,5044669,0.0,0.0,0.0,2279.0,0.9172395326113192,216676.29140625,196611.8690625,-1
